quality,ID
0.150843,00245.stimsim
0.150513,00246.stimsim
0.150678,00247.stimsim
0.150975,00248.stimsim
0.150381,00249.stimsim
0.150711,00250.stimsim
0.150777,00251.stimsim
0.150843,00252.stimsim
0.150744,00253.stimsim
0.150612,00254.stimsim
0.150579,00255.stimsim
0.150513,00256.stimsim
0.150678,00257.stimsim
0.15048,00258.stimsim
0.150744,00259.stimsim
0.150579,00260.stimsim
0.150414,00261.stimsim
0.150315,00262.stimsim
0.150579,00263.stimsim
0.150711,00264.stimsim
0.150777,00265.stimsim
0.150711,00266.stimsim
0.15081,00267.stimsim
0.150711,00268.stimsim
0.150414,00269.stimsim
0.150612,00270.stimsim
0.15048,00271.stimsim
0.15114,00272.stimsim
0.150216,00273.stimsim
0.15048,00274.stimsim
0.150711,00275.stimsim
0.150513,00276.stimsim
0.150645,00277.stimsim
0.150645,00278.stimsim
0.150777,00279.stimsim
0.150282,00280.stimsim
0.150777,00281.stimsim
0.150579,00282.stimsim
0.150876,00283.stimsim
0.150777,00284.stimsim
0.15048,00285.stimsim
0.150513,00286.stimsim
0.150216,00287.stimsim
0.150513,00288.stimsim
0.150612,00289.stimsim
0.150645,00290.stimsim
0.150777,00291.stimsim
0.150381,00292.stimsim
0.150447,00293.stimsim
0.150414,00294.stimsim
0.150744,00295.stimsim
0.150711,00296.stimsim
0.150711,00297.stimsim
0.150414,00298.stimsim
0.150645,00299.stimsim
0.150447,00300.stimsim
0.150513,00301.stimsim
0.150546,00302.stimsim
0.150744,00303.stimsim
0.150711,00304.stimsim
0.150711,00305.stimsim
0.150678,00306.stimsim
0.151107,00307.stimsim
0.15048,00308.stimsim
0.150414,00309.stimsim
0.150579,00310.stimsim
0.150348,00311.stimsim
0.15081,00312.stimsim
0.15015,00313.stimsim
0.150546,00314.stimsim
0.150348,00315.stimsim
0.150579,00316.stimsim
0.150711,00317.stimsim
0.150249,00318.stimsim
0.150579,00319.stimsim
0.151074,00320.stimsim
0.150612,00321.stimsim
0.15048,00322.stimsim
0.150513,00323.stimsim
0.150579,00324.stimsim
0.150711,00325.stimsim
0.150612,00326.stimsim
0.15048,00327.stimsim
0.150645,00328.stimsim
0.150612,00329.stimsim
0.151041,00330.stimsim
0.150678,00331.stimsim
0.150513,00332.stimsim
0.150777,00333.stimsim
0.150678,00334.stimsim
0.15048,00335.stimsim
0.150678,00336.stimsim
0.150513,00337.stimsim
0.151041,00338.stimsim
0.150744,00339.stimsim
0.150315,00340.stimsim
0.150711,00341.stimsim
0.150546,00342.stimsim
0.150414,00343.stimsim
0.150513,00344.stimsim
0.15048,00345.stimsim
0.150843,00346.stimsim
0.15081,00347.stimsim
0.15081,00348.stimsim
0.150051,00349.stimsim
0.15081,00350.stimsim
0.150315,00351.stimsim
0.150612,00352.stimsim
0.15048,00353.stimsim
0.150876,00354.stimsim
0.151107,00355.stimsim
0.151008,00356.stimsim
0.150645,00357.stimsim
0.150579,00358.stimsim
0.150381,00359.stimsim
0.150612,00360.stimsim
0.150612,00361.stimsim
0.150414,00362.stimsim
0.150678,00363.stimsim
0.150777,00364.stimsim
0.150711,00365.stimsim
0.150612,00366.stimsim
0.151008,00367.stimsim
0.150645,00368.stimsim
0.150711,00369.stimsim
0.15048,00370.stimsim
0.150414,00371.stimsim
0.150843,00372.stimsim
0.150381,00373.stimsim
0.150513,00374.stimsim
0.150645,00375.stimsim
0.150645,00376.stimsim
0.150744,00377.stimsim
0.15048,00378.stimsim
0.150711,00379.stimsim
0.150843,00380.stimsim
0.150612,00381.stimsim
0.150546,00382.stimsim
0.150513,00383.stimsim
0.150711,00384.stimsim
0.150678,00385.stimsim
0.150348,00386.stimsim
0.150777,00387.stimsim
0.150381,00388.stimsim
0.15048,00389.stimsim
0.150909,00390.stimsim
0.150612,00391.stimsim
0.150876,00392.stimsim
0.150645,00393.stimsim
0.150744,00394.stimsim
0.15081,00395.stimsim
0.150645,00396.stimsim
0.150645,00397.stimsim
0.151008,00398.stimsim
0.150546,00399.stimsim
0.150414,00400.stimsim
0.150612,00401.stimsim
0.150447,00402.stimsim
0.15081,00403.stimsim
0.150777,00404.stimsim
0.150678,00405.stimsim
0.150348,00406.stimsim
0.15048,00407.stimsim
0.150381,00408.stimsim
0.150579,00409.stimsim
0.150513,00410.stimsim
0.150645,00411.stimsim
0.150678,00412.stimsim
0.150612,00413.stimsim
0.150975,00414.stimsim
0.150942,00415.stimsim
0.150216,00416.stimsim
0.150051,00417.stimsim
0.151041,00418.stimsim
0.150843,00419.stimsim
0.150315,00420.stimsim
0.150447,00421.stimsim
0.150645,00422.stimsim
0.15081,00423.stimsim
0.150315,00424.stimsim
0.150975,00425.stimsim
0.15081,00426.stimsim
0.150711,00427.stimsim
0.150678,00428.stimsim
0.150711,00429.stimsim
0.150612,00430.stimsim
0.150645,00431.stimsim
0.150711,00432.stimsim
0.150216,00433.stimsim
0.150513,00434.stimsim
0.150216,00435.stimsim
0.15048,00436.stimsim
0.150612,00437.stimsim
0.150744,00438.stimsim
0.150315,00439.stimsim
0.150546,00440.stimsim
0.150678,00441.stimsim
0.150612,00442.stimsim
0.150579,00443.stimsim
0.150678,00444.stimsim
0.150645,00445.stimsim
0.150612,00446.stimsim
0.150612,00447.stimsim
0.150579,00448.stimsim
0.150249,00449.stimsim
0.150612,00450.stimsim
0.150909,00451.stimsim
0.150612,00452.stimsim
0.150579,00453.stimsim
0.150876,00454.stimsim
0.150777,00455.stimsim
0.150612,00456.stimsim
0.150645,00457.stimsim
0.15081,00458.stimsim
0.150381,00459.stimsim
0.150678,00460.stimsim
0.150645,00461.stimsim
0.15048,00462.stimsim
0.15081,00463.stimsim
0.15048,00464.stimsim
0.150579,00465.stimsim
0.150447,00466.stimsim
0.151239,00467.stimsim
0.150975,00468.stimsim
0.150414,00469.stimsim
0.15048,00470.stimsim
0.150612,00471.stimsim
0.150513,00472.stimsim
0.150744,00473.stimsim
0.151041,00474.stimsim
0.150909,00475.stimsim
0.150909,00476.stimsim
0.150579,00477.stimsim
0.150579,00478.stimsim
0.150315,00479.stimsim
0.150678,00480.stimsim
0.150942,00481.stimsim
0.150612,00482.stimsim
0.150975,00483.stimsim
0.150612,00484.stimsim
0.150579,00485.stimsim
0.150579,00486.stimsim
0.150414,00487.stimsim
0.150513,00488.stimsim
0.150447,00489.stimsim
0.150414,00490.stimsim
0.150315,00491.stimsim
0.150513,00492.stimsim
0.150414,00493.stimsim
0.150777,00494.stimsim
0.150183,00495.stimsim
0.150579,00496.stimsim
0.150876,00497.stimsim
0.150711,00498.stimsim
0.150282,00499.stimsim
0.150381,00500.stimsim
0.150414,00501.stimsim
0.150579,00502.stimsim
0.150975,00503.stimsim
0.150381,00504.stimsim
0.150546,00505.stimsim
0.150777,00506.stimsim
0.150249,00507.stimsim
0.150612,00508.stimsim
0.150447,00509.stimsim
0.150612,00510.stimsim
0.150579,00511.stimsim
0.150513,00512.stimsim
0.150414,00513.stimsim
0.150447,00514.stimsim
0.150645,00515.stimsim
0.150843,00516.stimsim
0.150447,00517.stimsim
0.150711,00518.stimsim
0.151008,00519.stimsim
0.150612,00520.stimsim
0.150777,00521.stimsim
0.150579,00522.stimsim
0.150843,00523.stimsim
0.150579,00524.stimsim
0.150909,00525.stimsim
0.150579,00526.stimsim
0.15114,00527.stimsim
0.150612,00528.stimsim
0.150117,00529.stimsim
0.150546,00530.stimsim
0.150876,00531.stimsim
0.15081,00532.stimsim
0.150414,00533.stimsim
0.150777,00534.stimsim
0.150612,00535.stimsim
0.150645,00536.stimsim
0.150744,00537.stimsim
0.150381,00538.stimsim
0.150744,00539.stimsim
0.150843,00540.stimsim
0.150876,00541.stimsim
0.150414,00542.stimsim
0.151107,00543.stimsim
0.150315,00544.stimsim
0.150678,00545.stimsim
0.150744,00546.stimsim
0.150612,00547.stimsim
0.150579,00548.stimsim
0.150447,00549.stimsim
0.150645,00550.stimsim
0.150843,00551.stimsim
0.150744,00552.stimsim
0.150183,00553.stimsim
0.150909,00554.stimsim
0.150513,00555.stimsim
0.150513,00556.stimsim
0.150975,00557.stimsim
0.150513,00558.stimsim
0.150843,00559.stimsim
0.150777,00560.stimsim
0.15048,00561.stimsim
0.15081,00562.stimsim
0.150744,00563.stimsim
0.150084,00564.stimsim
0.15048,00565.stimsim
0.151008,00566.stimsim
0.150843,00567.stimsim
0.150447,00568.stimsim
0.150612,00569.stimsim
0.150513,00570.stimsim
0.150546,00571.stimsim
0.150876,00572.stimsim
0.150513,00573.stimsim
0.150282,00574.stimsim
0.15048,00575.stimsim
0.150579,00576.stimsim
0.150612,00577.stimsim
0.150315,00578.stimsim
0.150645,00579.stimsim
0.150513,00580.stimsim
0.150678,00581.stimsim
0.150645,00582.stimsim
0.150744,00583.stimsim
0.15048,00584.stimsim
0.15081,00585.stimsim
0.150612,00586.stimsim
0.150711,00587.stimsim
0.150513,00588.stimsim
0.150579,00589.stimsim
0.150612,00590.stimsim
0.150612,00591.stimsim
0.150612,00592.stimsim
0.150447,00593.stimsim
0.150579,00594.stimsim
0.150216,00595.stimsim
0.150975,00596.stimsim
0.150744,00597.stimsim
0.150579,00598.stimsim
0.150612,00599.stimsim
0.150579,00600.stimsim
0.150777,00601.stimsim
0.150612,00602.stimsim
0.150579,00603.stimsim
0.150315,00604.stimsim
0.15048,00605.stimsim
0.15048,00606.stimsim
0.150513,00607.stimsim
0.150744,00608.stimsim
0.15048,00609.stimsim
0.150612,00610.stimsim
0.150678,00611.stimsim
0.150546,00612.stimsim
0.150612,00613.stimsim
0.150579,00614.stimsim
0.150678,00615.stimsim
0.150381,00616.stimsim
0.150579,00617.stimsim
0.150777,00618.stimsim
0.150282,00619.stimsim
0.150546,00620.stimsim
0.15081,00621.stimsim
0.150315,00622.stimsim
0.150645,00623.stimsim
0.150744,00624.stimsim
0.151074,00625.stimsim
0.150546,00626.stimsim
0.150612,00627.stimsim
0.150612,00628.stimsim
