quality,ID
0.450186,00000.stimsim
0.450186,00001.stimsim
0.450351,00002.stimsim
0.450747,00003.stimsim
0.450285,00004.stimsim
0.450384,00005.stimsim
0.450252,00006.stimsim
0.450186,00007.stimsim
0.450087,00008.stimsim
0.450549,00009.stimsim
0.449955,00010.stimsim
0.450054,00011.stimsim
0.450417,00012.stimsim
0.450582,00013.stimsim
0.449955,00014.stimsim
0.450549,00015.stimsim
0.450252,00016.stimsim
0.450879,00017.stimsim
0.450747,00018.stimsim
0.450153,00019.stimsim
0.449955,00020.stimsim
0.450384,00021.stimsim
0.45045,00022.stimsim
0.45045,00023.stimsim
0.450483,00024.stimsim
0.449988,00025.stimsim
0.450912,00026.stimsim
0.449955,00027.stimsim
0.450516,00028.stimsim
0.450186,00029.stimsim
0.450219,00030.stimsim
0.449856,00031.stimsim
0.450153,00032.stimsim
0.450252,00033.stimsim
0.450714,00034.stimsim
0.450186,00035.stimsim
0.450285,00036.stimsim
0.450252,00037.stimsim
0.45012,00038.stimsim
0.450186,00039.stimsim
0.450483,00040.stimsim
0.450153,00041.stimsim
0.450021,00042.stimsim
0.449889,00043.stimsim
0.450153,00044.stimsim
0.450648,00045.stimsim
0.450483,00046.stimsim
0.450483,00047.stimsim
0.449988,00048.stimsim
0.450549,00049.stimsim
0.45045,00050.stimsim
0.450384,00051.stimsim
0.449922,00052.stimsim
0.450417,00053.stimsim
0.450087,00054.stimsim
0.450417,00055.stimsim
0.450714,00056.stimsim
0.450846,00057.stimsim
0.450087,00058.stimsim
0.449823,00059.stimsim
0.450714,00060.stimsim
0.449955,00061.stimsim
0.450219,00062.stimsim
0.449988,00063.stimsim
0.450483,00064.stimsim
0.450252,00065.stimsim
0.450087,00066.stimsim
0.450516,00067.stimsim
0.449988,00068.stimsim
0.450516,00069.stimsim
0.450681,00070.stimsim
0.450153,00071.stimsim
0.450978,00072.stimsim
0.450285,00073.stimsim
0.450978,00074.stimsim
0.450648,00075.stimsim
0.44946,00076.stimsim
0.450417,00077.stimsim
0.44979,00078.stimsim
0.450219,00079.stimsim
0.450252,00080.stimsim
0.450384,00081.stimsim
0.449592,00082.stimsim
0.449988,00083.stimsim
0.450054,00084.stimsim
0.450417,00085.stimsim
0.450087,00086.stimsim
0.450879,00087.stimsim
0.45078,00088.stimsim
0.450087,00089.stimsim
0.450252,00090.stimsim
0.449658,00091.stimsim
0.450285,00092.stimsim
0.450384,00093.stimsim
0.450186,00094.stimsim
0.449856,00095.stimsim
0.450186,00096.stimsim
0.449889,00097.stimsim
0.450417,00098.stimsim
0.450516,00099.stimsim
