quality,ID
0.148962,00000.stimsim
0.148962,00001.stimsim
0.148863,00002.stimsim
0.148896,00003.stimsim
0.148962,00004.stimsim
0.148896,00005.stimsim
0.148896,00006.stimsim
0.148896,00007.stimsim
0.148863,00008.stimsim
0.148929,00009.stimsim
0.148863,00010.stimsim
0.148863,00011.stimsim
0.148896,00012.stimsim
0.148896,00013.stimsim
0.148962,00014.stimsim
0.148896,00015.stimsim
0.148896,00016.stimsim
0.148863,00017.stimsim
0.148896,00018.stimsim
0.148962,00019.stimsim
0.148863,00020.stimsim
0.148962,00021.stimsim
0.148962,00022.stimsim
0.148863,00023.stimsim
0.148896,00024.stimsim
0.148962,00025.stimsim
0.148929,00026.stimsim
0.148896,00027.stimsim
0.148896,00028.stimsim
0.148962,00029.stimsim
0.148896,00030.stimsim
0.148962,00031.stimsim
0.148896,00032.stimsim
0.148896,00033.stimsim
0.148962,00034.stimsim
0.148962,00035.stimsim
0.148896,00036.stimsim
0.148896,00037.stimsim
0.148962,00038.stimsim
0.148896,00039.stimsim
0.148896,00040.stimsim
0.148962,00041.stimsim
0.148896,00042.stimsim
0.148863,00043.stimsim
0.148962,00044.stimsim
0.148962,00045.stimsim
0.148896,00046.stimsim
0.148863,00047.stimsim
0.148929,00048.stimsim
0.148863,00049.stimsim
